match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
61,1,Chennai Super Kings,Kings XI Punjab,3,1,ML Hayden,PA Patel,B Lee,0,0,0,0,0,0,0,0,0,,,
61,1,Chennai Super Kings,Kings XI Punjab,3,2,ML Hayden,PA Patel,B Lee,0,0,0,0,1,0,4,1,5,,,
61,1,Chennai Super Kings,Kings XI Punjab,3,3,ML Hayden,PA Patel,B Lee,0,0,0,0,0,0,0,0,0,,,
61,1,Chennai Super Kings,Kings XI Punjab,3,4,ML Hayden,PA Patel,B Lee,0,0,0,0,0,0,1,0,1,,,
61,1,Chennai Super Kings,Kings XI Punjab,3,5,PA Patel,ML Hayden,B Lee,0,0,0,0,0,0,0,0,0,PA Patel,caught,KC Sangakkara
61,1,Chennai Super Kings,Kings XI Punjab,3,6,MEK Hussey,ML Hayden,B Lee,0,0,0,0,0,0,1,0,1,,,
61,1,Chennai Super Kings,Kings XI Punjab,3,7,ML Hayden,MEK Hussey,B Lee,0,0,0,0,0,0,0,0,0,,,
