match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
62,2,Delhi Daredevils,Rajasthan Royals,6,1,G Gambhir,S Dhawan,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
62,2,Delhi Daredevils,Rajasthan Royals,6,2,G Gambhir,S Dhawan,SK Trivedi,0,1,0,0,0,0,0,1,1,,,
62,2,Delhi Daredevils,Rajasthan Royals,6,3,G Gambhir,S Dhawan,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
62,2,Delhi Daredevils,Rajasthan Royals,6,4,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
62,2,Delhi Daredevils,Rajasthan Royals,6,5,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,4,0,4,,,
62,2,Delhi Daredevils,Rajasthan Royals,6,6,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
62,2,Delhi Daredevils,Rajasthan Royals,6,7,G Gambhir,S Dhawan,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
