match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
62,2,Delhi Daredevils,Rajasthan Royals,8,1,G Gambhir,S Dhawan,SK Trivedi,0,0,0,0,0,0,1,0,1,,,
62,2,Delhi Daredevils,Rajasthan Royals,8,2,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,4,0,4,,,
62,2,Delhi Daredevils,Rajasthan Royals,8,3,S Dhawan,G Gambhir,SK Trivedi,0,1,0,0,0,0,0,1,1,,,
62,2,Delhi Daredevils,Rajasthan Royals,8,4,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
62,2,Delhi Daredevils,Rajasthan Royals,8,5,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,4,0,4,,,
62,2,Delhi Daredevils,Rajasthan Royals,8,6,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,2,0,2,,,
62,2,Delhi Daredevils,Rajasthan Royals,8,7,S Dhawan,G Gambhir,SK Trivedi,0,0,0,0,0,0,0,0,0,,,
