match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
64,2,Kolkata Knight Riders,Deccan Chargers,9,1,DJ Hussey,SC Ganguly,SB Bangar,0,0,0,0,0,0,0,0,0,,,
64,2,Kolkata Knight Riders,Deccan Chargers,9,2,DJ Hussey,SC Ganguly,SB Bangar,0,0,0,0,0,0,0,0,0,,,
64,2,Kolkata Knight Riders,Deccan Chargers,9,3,DJ Hussey,SC Ganguly,SB Bangar,0,0,0,0,0,0,0,0,0,,,
64,2,Kolkata Knight Riders,Deccan Chargers,9,4,DJ Hussey,SC Ganguly,SB Bangar,0,1,0,0,0,0,0,1,1,,,
64,2,Kolkata Knight Riders,Deccan Chargers,9,5,DJ Hussey,SC Ganguly,SB Bangar,0,0,0,0,0,0,0,0,0,,,
64,2,Kolkata Knight Riders,Deccan Chargers,9,6,DJ Hussey,SC Ganguly,SB Bangar,0,0,0,0,0,0,0,0,0,,,
64,2,Kolkata Knight Riders,Deccan Chargers,9,7,DJ Hussey,SC Ganguly,SB Bangar,0,0,0,0,0,0,0,0,0,,,
