match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
60,2,Royal Challengers Bangalore,Kolkata Knight Riders,8,1,CL White,MV Boucher,SC Ganguly,0,0,0,0,0,0,1,0,1,,,
60,2,Royal Challengers Bangalore,Kolkata Knight Riders,8,2,MV Boucher,CL White,SC Ganguly,0,0,0,1,0,0,0,1,1,,,
60,2,Royal Challengers Bangalore,Kolkata Knight Riders,8,3,CL White,MV Boucher,SC Ganguly,0,0,0,0,0,0,1,0,1,,,
60,2,Royal Challengers Bangalore,Kolkata Knight Riders,8,4,MV Boucher,CL White,SC Ganguly,0,0,0,0,0,0,2,0,2,,,
60,2,Royal Challengers Bangalore,Kolkata Knight Riders,8,5,MV Boucher,CL White,SC Ganguly,0,0,0,0,0,0,0,0,0,MV Boucher,caught,M Kartik
60,2,Royal Challengers Bangalore,Kolkata Knight Riders,8,6,CL White,B Akhil,SC Ganguly,0,0,0,0,0,0,0,0,0,,,
