match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,1,DJ Hussey,BB McCullum,CL White,0,0,0,0,0,0,4,0,4,,,
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,2,DJ Hussey,BB McCullum,CL White,0,0,0,0,0,0,1,0,1,,,
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,3,BB McCullum,DJ Hussey,CL White,0,0,0,0,0,0,6,0,6,,,
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,4,BB McCullum,DJ Hussey,CL White,0,0,0,0,0,0,4,0,4,,,
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,5,BB McCullum,DJ Hussey,CL White,0,2,0,0,0,0,0,2,2,,,
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,6,DJ Hussey,BB McCullum,CL White,0,0,0,0,0,0,1,0,1,,,
60,1,Kolkata Knight Riders,Royal Challengers Bangalore,15,7,BB McCullum,DJ Hussey,CL White,0,0,0,0,0,0,6,0,6,,,
